frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z
"1.769173","-0.117","0.241","0.327","-0.006","-0.166","0.986","-0.054","0.243","0.328","0.016","-0.189","0.982"
"1.780831","-0.122","0.242","0.328","-0.007","-0.166","0.986","-0.059","0.244","0.33","0.007","-0.191","0.982"
"1.794842","-0.122","0.242","0.328","-0.009","-0.166","0.986","-0.059","0.244","0.33","0.007","-0.192","0.981"
"1.809036","-0.122","0.242","0.328","-0.011","-0.165","0.986","-0.059","0.244","0.33","0.007","-0.192","0.981"
"1.823737","-0.122","0.242","0.328","-0.012","-0.165","0.986","-0.059","0.244","0.33","0.006","-0.192","0.981"
"1.838138","-0.121","0.242","0.328","-0.013","-0.165","0.986","-0.059","0.244","0.33","0.006","-0.192","0.981"
"1.852312","-0.121","0.242","0.328","-0.012","-0.165","0.986","-0.058","0.244","0.33","0.005","-0.193","0.981"
"1.866684","-0.121","0.242","0.328","-0.012","-0.164","0.986","-0.058","0.244","0.33","0.005","-0.193","0.981"
"1.88101","-0.121","0.242","0.328","-0.014","-0.163","0.986","-0.058","0.244","0.33","0.004","-0.194","0.981"
"1.895269","-0.121","0.242","0.328","-0.013","-0.163","0.986","-0.058","0.244","0.329","0.004","-0.194","0.981"
"1.90916","-0.121","0.242","0.328","-0.013","-0.163","0.986","-0.058","0.244","0.329","0.004","-0.194","0.981"
"1.923572","-0.121","0.242","0.328","-0.013","-0.163","0.986","-0.058","0.244","0.329","0.003","-0.194","0.981"
"1.937772","-0.121","0.242","0.328","-0.013","-0.163","0.986","-0.058","0.244","0.329","0.003","-0.194","0.981"
"1.951855","-0.121","0.242","0.328","-0.013","-0.163","0.987","-0.058","0.244","0.329","0.003","-0.194","0.981"
"1.966771","-0.121","0.242","0.328","-0.013","-0.164","0.986","-0.058","0.244","0.329","0.003","-0.194","0.981"
"1.983224","-0.105","0.243","0.337","-0.142","-0.164","0.976","-0.043","0.245","0.347","-0.124","-0.197","0.973"
"1.995128","-0.103","0.243","0.337","-0.142","-0.164","0.976","-0.041","0.245","0.347","-0.124","-0.197","0.973"
"2.009252","-0.103","0.243","0.337","-0.142","-0.164","0.976","-0.04","0.245","0.346","-0.124","-0.197","0.973"
"2.024051","-0.102","0.244","0.337","-0.142","-0.164","0.976","-0.04","0.246","0.346","-0.124","-0.197","0.973"
"2.037806","-0.102","0.244","0.337","-0.142","-0.165","0.976","-0.04","0.246","0.346","-0.124","-0.197","0.973"
"2.052055","-0.102","0.244","0.337","-0.142","-0.165","0.976","-0.04","0.246","0.346","-0.124","-0.196","0.973"
"2.066571","-0.102","0.244","0.337","-0.142","-0.165","0.976","-0.04","0.246","0.346","-0.124","-0.196","0.973"
